"rowname","pmid","subm_obs_id","uniq_obs_id","count"
"32788292_1_8","32788292",1,8,33
"32788292_2_9","32788292",2,9,1
"32788292_3_10","32788292",3,10,61
"32788292_4_11","32788292",4,11,9
"32788292_5_12","32788292",5,12,25
"32788292_6_13","32788292",6,13,63
"32788292_7_14","32788292",7,14,96
"32788292_8_15","32788292",8,15,126
"32788292_9_16","32788292",9,16,108
