"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (vaccine ontology)"	"exposure material - additional"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"Hoek et al. (2015) A cell-based systems biology assessment of human blood to monitor immune responses after influenza vaccination. PLoS One. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537' target='_blank'>25706537</a>"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"
""	"hipc_vac_gene_25706537_12"	"2015.02.24"	"hipc_vac_gene_25706537_12"	"TXNDC5"	""	"healthy volunteers"	""	""	""	""	"B cell"	"CL:0000236"	"TXNDC5"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0004810"	""	"2011"	""	""	""	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"S6 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s006.xlsx' target='_blank'>pone.0118528.s006.xlsx</a>"	"Up-regulated DE RNA transcripts (up >= 1.5x) shared between both TIV-vaccinated donors"	"51"	"48"	"12"	"321"	"25706537_12_321"	"hipc_vac_gene_sig_25706537_12.txt"	"hipc_vac_gene_sig_complete_25706537_12.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_25706537_12"	"2015.02.24"	"hipc_vac_gene_25706537_12"	"BLOC1S5-TXNDC5"	""	"healthy volunteers"	""	""	""	""	"B cell"	"CL:0000236"	"BLOC1S5-TXNDC5"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0004810"	""	"2011"	""	""	""	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"S6 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s006.xlsx' target='_blank'>pone.0118528.s006.xlsx</a>"	"Up-regulated DE RNA transcripts (up >= 1.5x) shared between both TIV-vaccinated donors"	"51"	"48"	"12"	"321"	"25706537_12_321"	"hipc_vac_gene_sig_25706537_12.txt"	"hipc_vac_gene_sig_complete_25706537_12.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_25706537_12"	"2015.02.24"	"hipc_vac_gene_25706537_12"	"BHLHA15"	""	"healthy volunteers"	""	""	""	""	"B cell"	"CL:0000236"	"BHLHA15"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0004810"	""	"2011"	""	""	""	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"S6 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s006.xlsx' target='_blank'>pone.0118528.s006.xlsx</a>"	"Up-regulated DE RNA transcripts (up >= 1.5x) shared between both TIV-vaccinated donors"	"51"	"48"	"12"	"321"	"25706537_12_321"	"hipc_vac_gene_sig_25706537_12.txt"	"hipc_vac_gene_sig_complete_25706537_12.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_25706537_12"	"2015.02.24"	"hipc_vac_gene_25706537_12"	"CAV1"	""	"healthy volunteers"	""	""	""	""	"B cell"	"CL:0000236"	"CAV1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0004810"	""	"2011"	""	""	""	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"S6 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s006.xlsx' target='_blank'>pone.0118528.s006.xlsx</a>"	"Up-regulated DE RNA transcripts (up >= 1.5x) shared between both TIV-vaccinated donors"	"51"	"48"	"12"	"321"	"25706537_12_321"	"hipc_vac_gene_sig_25706537_12.txt"	"hipc_vac_gene_sig_complete_25706537_12.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_25706537_12"	"2015.02.24"	"hipc_vac_gene_25706537_12"	"ADHFE1"	""	"healthy volunteers"	""	""	""	""	"B cell"	"CL:0000236"	"ADHFE1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0004810"	""	"2011"	""	""	""	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"S6 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s006.xlsx' target='_blank'>pone.0118528.s006.xlsx</a>"	"Up-regulated DE RNA transcripts (up >= 1.5x) shared between both TIV-vaccinated donors"	"51"	"48"	"12"	"321"	"25706537_12_321"	"hipc_vac_gene_sig_25706537_12.txt"	"hipc_vac_gene_sig_complete_25706537_12.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_25706537_12"	"2015.02.24"	"hipc_vac_gene_25706537_12"	"AQP3"	""	"healthy volunteers"	""	""	""	""	"B cell"	"CL:0000236"	"AQP3"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0004810"	""	"2011"	""	""	""	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"S6 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s006.xlsx' target='_blank'>pone.0118528.s006.xlsx</a>"	"Up-regulated DE RNA transcripts (up >= 1.5x) shared between both TIV-vaccinated donors"	"51"	"48"	"12"	"321"	"25706537_12_321"	"hipc_vac_gene_sig_25706537_12.txt"	"hipc_vac_gene_sig_complete_25706537_12.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_25706537_12"	"2015.02.24"	"hipc_vac_gene_25706537_12"	"DCAF12"	""	"healthy volunteers"	""	""	""	""	"B cell"	"CL:0000236"	"DCAF12"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0004810"	""	"2011"	""	""	""	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"S6 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s006.xlsx' target='_blank'>pone.0118528.s006.xlsx</a>"	"Up-regulated DE RNA transcripts (up >= 1.5x) shared between both TIV-vaccinated donors"	"51"	"48"	"12"	"321"	"25706537_12_321"	"hipc_vac_gene_sig_25706537_12.txt"	"hipc_vac_gene_sig_complete_25706537_12.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_25706537_12"	"2015.02.24"	"hipc_vac_gene_25706537_12"	"ZWINT"	""	"healthy volunteers"	""	""	""	""	"B cell"	"CL:0000236"	"ZWINT"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0004810"	""	"2011"	""	""	""	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"S6 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s006.xlsx' target='_blank'>pone.0118528.s006.xlsx</a>"	"Up-regulated DE RNA transcripts (up >= 1.5x) shared between both TIV-vaccinated donors"	"51"	"48"	"12"	"321"	"25706537_12_321"	"hipc_vac_gene_sig_25706537_12.txt"	"hipc_vac_gene_sig_complete_25706537_12.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_25706537_12"	"2015.02.24"	"hipc_vac_gene_25706537_12"	"HBB"	""	"healthy volunteers"	""	""	""	""	"B cell"	"CL:0000236"	"HBB"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0004810"	""	"2011"	""	""	""	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"S6 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s006.xlsx' target='_blank'>pone.0118528.s006.xlsx</a>"	"Up-regulated DE RNA transcripts (up >= 1.5x) shared between both TIV-vaccinated donors"	"51"	"48"	"12"	"321"	"25706537_12_321"	"hipc_vac_gene_sig_25706537_12.txt"	"hipc_vac_gene_sig_complete_25706537_12.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_25706537_12"	"2015.02.24"	"hipc_vac_gene_25706537_12"	"NUCB2"	""	"healthy volunteers"	""	""	""	""	"B cell"	"CL:0000236"	"NUCB2"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0004810"	""	"2011"	""	""	""	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"S6 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s006.xlsx' target='_blank'>pone.0118528.s006.xlsx</a>"	"Up-regulated DE RNA transcripts (up >= 1.5x) shared between both TIV-vaccinated donors"	"51"	"48"	"12"	"321"	"25706537_12_321"	"hipc_vac_gene_sig_25706537_12.txt"	"hipc_vac_gene_sig_complete_25706537_12.txt"	"1316510"	"654811"	"604436"
