"descriptive text on Dashboard"	"response component"	"curation date YYYY-MM-DD"	"cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested"	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"method - primary experimental method used to measure the response"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (NCBI pathogen name)"	"exposure material (NCBI taxid)"	"exposure process - method by which immune exposure  occurred"	"disease name"	"disease stage - reported disease stage(s) of affected subjects"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD)"	"publication URL"	"signature source - figure, table or text section"	"comments and additional details"	"response component (original) count"	"response component count"	"row key"
""	"JAML; IRS1; MLANA; IGF1R; TCF7; KLF2; KLRB1; CXCR4; CEACAM8; BCL6; CD69; PTGS2; CD226; BCL2; KLRG1; PTPRC; CCL17; CD1C; MPO; CD83; CRTAM; HLA-DQB2; RORC; TNFRSF9; IL2; CCR6; ARG1; MAGEC2; CXCR5; GAGE10"	"2021-02-19"	"Basal & Liestal, Switzerland"	"53"	"104"	"years"	"26"	"formalin-fixed and paraffin-embedded (FFPE) lung tissue"	"UBERON:0002048"	"DEGs of OIRRA gene expression assay"	"JAML; IRS1; MLANA; IGF1R; TCF7; KLF2; KLRB1; CXCR4; CEACAM8; BCL6; CD69; PTGS2; CD226; BCL2; KLRG1; PTPRC; CCL17; CD1C; MPO; CD83; CRTAM; HLA-DQB2; RORC; TNFRSF9; IL2; CCR6; ARG1; MAGEC2; CXCR5; GAGE10"	"N"	"gene expression"	"down"	"Autopsies of COVID-19 patients vs healthy patients"	""	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33033248"	"2020-10-08"	"https://www.nature.com/articles/s41467-020-18854-2"	"Fig 1a; Suppl Table 3."	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7546638/figure/Fig1/"	"30"	"30"	"33033248_2_161"
""	"C1QA; C1QB"	"2021-02-19"	"Basal, Switzerland"	"53"	"96"	"years"	"31"	"formalin-fixed and paraffin-embedded (FFPE) lung tissue"	"UBERON:0002048"	"Immunohistochemical analyses"	"C1QA; C1QB"	"N"	"gene expression"	"up"	"cluster 2 (ISG low) vs cluster 1 (ISG high)"	""	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33033248"	"2020-10-08"	"https://www.nature.com/articles/s41467-020-18854-2"	"Fig 6b"	""	"2"	"2"	"33033248_4_169"
""	"IL7R; LTB; TRAC; LDHB; CD3E; CD3D; NOSIP; TCF7; MAL; TRBC2; CD3G; PIK3IP1; TRBC1; RCAN3; TRAT1; LEF1; CCR7; CD69; SARAF; EEF1B2; TPT1; ETS1; NOP53; EEF1A1; IL32; BCL2; CD27; LEPROTL1; OXNAD1; NPM1; TOMM7; AQP3; TRABD2A; CAMK4; C12orf57; INPP4B; BTG1; SPOCK2; TSHZ2; LCK; EIF3E; GIMAP7; BCL11B; DNAJB1; PBXIP1; JUNB; FOXP1; SH3YL1; CD2; ARID5B; MYC; SNHG8; EEF1D; TLE5; RACK1"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF panel"	"IL7R; LTB; TRAC; LDHB; CD3E; CD3D; NOSIP; TCF7; MAL; TRBC2; CD3G; PIK3IP1; TRBC1; RCAN3; TRAT1; LEF1; CCR7; CD69; SARAF; EEF1B2; TPT1; ETS1; NOP53; EEF1A1; IL32; BCL2; CD27; LEPROTL1; OXNAD1; NPM1; TOMM7; AQP3; TRABD2A; CAMK4; C12orf57; INPP4B; BTG1; SPOCK2; TSHZ2; LCK; EIF3E; GIMAP7; BCL11B; DNAJB1; PBXIP1; JUNB; FOXP1; SH3YL1; CD2; ARID5B; MYC; SNHG8; EEF1D; AES; RACK1"	"N"	"gene expression"	"up"	"cluster 0 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"55"	"55"	"32788292_42_185"
""	"CAPNS1; MOB1A; REL; PIK3AP1; LGALS9; XAF1; GNAI2; ZYX; BID; ITGAX; RTN3; OAS1; IFNGR1; CNPY3; FOSB; DUSP1; SEC61B; RHOB; ARF1; AGTRAP; ETFA; CMC1; CMIP; CD83; CD300A; AKIRIN2; PRKCB; AHNAK; IFI27L2; OGFRL1; CD99; WARS1; RAB31; ALDH2; LY86; JAML; HSBP1; BST2; KCTD12; RRBP1; RAB11A; RGS10; GNAS; ABHD17A; GPX4"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF panel"	"CAPNS1; MOB1A; REL; PIK3AP1; LGALS9; XAF1; GNAI2; ZYX; BID; ITGAX; RTN3; OAS1; IFNGR1; CNPY3; FOSB; DUSP1; SEC61B; RHOB; ARF1; AGTRAP; ETFA; CMC1; CMIP; CD83; CD300A; AKIRIN2; PRKCB; AHNAK; IFI27L2; OGFRL1; CD99; WARS; RAB31; ALDH2; LY86; JAML; HSBP1; BST2; KCTD12; RRBP1; RAB11A; RGS10; GNAS; ABHD17A; GPX4"	"N"	"gene expression"	"down"	"cluster 0 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"45"	"45"	"32788292_43_186"
""	"GNLY; NKG7; PRF1; FGFBP2; SPON2; CCL4; KLRF1; KLRD1; GZMA; CD247; GZMB; KLRB1; CTSW; CLIC3; HOPX; PTGDS; CD7; TRDC; GZMM; IL2RB; MATK; ABHD17A; CST7; IGFBP7; GZMH; CD160; ADGRG1; AKR1C3; PYHIN1; SAMD3; EFHD2; HCST; TTC38; CMC1; APMAP; NCR3; KLRC1; PTGDR; ARL4C; FCGR3A; PRSS23; PLAAT4; TXK; APOBEC3G; CX3CR1; CEP78; XCL2; JAK1; GNPTAB; RUNX3; MYBL1; TBX21; CCL5; S1PR5; C1orf21; PTPN4; GNG2; CHST2; FCRL6; SYNE1; ZAP70; IFITM2; LITAF; ARPC5L; METRNL; DHRS7; CD81; EVL; ARHGAP9; ITGB2; CCL3; SKAP1; DDIT4; MBP; CHST12; SYNE2; CALM1; GIMAP7; PLAC8; PLEKHF1; PRKCH; TXNIP; DENND2D; ASCL2; TBC1D10C; SH2D1B; CXXC5; IL2RG; STK17A; RAC2; RASSF1; OSTF1; SYTL3; TFDP2; TLE5; CD300A; ID2; SLFN5; CD63"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF panel"	"GNLY; NKG7; PRF1; FGFBP2; SPON2; CCL4; KLRF1; KLRD1; GZMA; CD247; GZMB; KLRB1; CTSW; CLIC3; HOPX; PTGDS; CD7; TRDC; GZMM; IL2RB; MATK; ABHD17A; CST7; IGFBP7; GZMH; CD160; ADGRG1; AKR1C3; PYHIN1; SAMD3; EFHD2; HCST; TTC38; CMC1; APMAP; NCR3; KLRC1; PTGDR; ARL4C; FCGR3A; PRSS23; RARRES3; TXK; APOBEC3G; CX3CR1; CEP78; XCL2; JAK1; GNPTAB; RUNX3; MYBL1; TBX21; CCL5; S1PR5; C1orf21; PTPN4; GNG2; CHST2; FCRL6; SYNE1; ZAP70; IFITM2; LITAF; ARPC5L; METRNL; DHRS7; CD81; EVL; ARHGAP9; ITGB2; CCL3; SKAP1; DDIT4; MBP; CHST12; SYNE2; CALM1; GIMAP7; PLAC8; PLEKHF1; PRKCH; TXNIP; DENND2D; ASCL2; TBC1D10C; SH2D1B; CXXC5; IL2RG; STK17A; RAC2; RASSF1; OSTF1; SYTL3; TFDP2; AES; CD300A; ID2; SLFN5; CD63"	"N"	"gene expression"	"up"	"cluster 1 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"99"	"32788292_44_187"
""	"GZMH; IL32; TRGC2; NKG7; CD3D; GZMK; CCL5; GZMA; CD3G; CD8A; KLRG1; CD8B; CD3E; CD2; FGFBP2; GZMM; GNLY; TRAC; TRBC2; CCL4; LYAR; DUSP2; HOPX; KLRD1; HCST; LCK; CTSW; LINC01871; PPP2R5C; CD52; TRBC1; SAMD3; CMC1; PLAAT4; SYNE2; HLA-C; CD81; RORA; APOBEC3G; CLEC2D; FCRL6; MYBL1; ARL4C; CALM1; CST7; PRF1; LITAF; ABHD17A; IL2RG; MATK; PYHIN1; SKAP1; B2M; ANXA6; PAXX; ADGRG1; SYNE1; MALAT1; TLE5; CD6; C1orf21; IL7R"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF panel"	"GZMH; IL32; TRGC2; NKG7; CD3D; GZMK; CCL5; GZMA; CD3G; CD8A; KLRG1; CD8B; CD3E; CD2; FGFBP2; GZMM; GNLY; TRAC; TRBC2; CCL4; LYAR; DUSP2; HOPX; KLRD1; HCST; LCK; CTSW; LINC01871; PPP2R5C; CD52; TRBC1; SAMD3; CMC1; RARRES3; SYNE2; HLA-C; CD81; RORA; APOBEC3G; CLEC2D; FCRL6; MYBL1; ARL4C; CALM1; CST7; PRF1; LITAF; ABHD17A; IL2RG; MATK; PYHIN1; SKAP1; B2M; ANXA6; PAXX; ADGRG1; SYNE1; MALAT1; AES; CD6; C1orf21; IL7R"	"N"	"gene expression"	"up"	"cluster 2 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"62"	"62"	"32788292_45_188"
""	"MACROH2A1; TNFSF10; SYK; SELL; C1orf162; HCK; CD55; LMO2; GPR183; CTSH; CTSB; HLA-DMB; FOS; RAB11FIP1; FKBP1A; BLVRB; CLEC12A; DAPP1; PECAM1; JAML; NFKBIZ; CAPG; LYL1; RNF130; POU2F2; CAPZA2; GSTO1; SNAP23; VIM; LAMTOR1; HLA-DRB5; ARPC1B; S100A11; CALM3; NT5C3A; VCL"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF panel"	"H2AFY; TNFSF10; SYK; SELL; C1orf162; HCK; CD55; LMO2; GPR183; CTSH; CTSB; HLA-DMB; FOS; RAB11FIP1; FKBP1A; BLVRB; CLEC12A; DAPP1; PECAM1; JAML; NFKBIZ; CAPG; LYL1; RNF130; POU2F2; CAPZA2; GSTO1; SNAP23; VIM; LAMTOR1; HLA-DRB5; ARPC1B; S100A11; CALM3; NT5C3A; VCL"	"N"	"gene expression"	"down"	"cluster 2 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"38"	"36"	"32788292_46_189"
""	"LYZ; VCAN; S100A9; CXCL8; FCN1; S100A8; CD14; MNDA; CTSS; S100A12; NEAT1; MS4A6A; IL1B; LGALS2; CSTA; CEBPD; ATP2B1-AS1; TKT; CYBB; TSPO; TYROBP; IER3; CSF3R; FGL2; RGS2; KLF4; S100A6; NCF2; NCF1; FOS; NAMPT; AIF1; BRI3; TYMP; CD36; APLP2; DUSP6; CFD; CCL3; S100A11; GRN; PLBD1; LGALS3; FTL; G0S2; CLEC7A; FOSB; EREG; NFKBIA; BLVRB; AP1S2; RBP7; PSAP; KCTD12; MPEG1; CLEC12A; FCGRT; TNFAIP2; FPR1; DUSP1; CPVL; SERPINA1; SLC11A1; MCL1; PLAUR; IGSF6; ANXA1; TNFSF13B; TMEM176B; CDA; NUP214; CST3; GCA; LRRK2; JAML; VIM; DMXL2; RNF130; S100A10; EGR1; CFP; KLF6; S100A4; SDCBP; TREM1; PYCARD; ASGR1; C5AR1; MEGF9; LGALS1; SPI1; CLEC4E; CD302; OGFRL1; RETN; NLRP3; IER2"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF panel"	"LYZ; VCAN; S100A9; CXCL8; FCN1; S100A8; CD14; MNDA; CTSS; S100A12; NEAT1; MS4A6A; IL1B; LGALS2; CSTA; CEBPD; ATP2B1-AS1; TKT; CYBB; TSPO; TYROBP; IER3; CSF3R; FGL2; RGS2; KLF4; S100A6; NCF2; NCF1; FOS; NAMPT; AIF1; BRI3; TYMP; CD36; APLP2; DUSP6; CFD; CCL3; S100A11; GRN; PLBD1; LGALS3; FTL; G0S2; CLEC7A; FOSB; EREG; NFKBIA; BLVRB; AP1S2; RBP7; PSAP; KCTD12; MPEG1; CLEC12A; FCGRT; TNFAIP2; FPR1; DUSP1; CPVL; SERPINA1; SLC11A1; MCL1; PLAUR; IGSF6; ANXA1; TNFSF13B; TMEM176B; CDA; NUP214; CST3; GCA; LRRK2; JAML; VIM; DMXL2; RNF130; S100A10; EGR1; CFP; KLF6; S100A4; SDCBP; TREM1; PYCARD; ASGR1; C5AR1; MEGF9; LGALS1; SPI1; CLEC4E; CD302; OGFRL1; RETN; NLRP3; IER2"	"N"	"gene expression"	"up"	"cluster 3 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"97"	"32788292_47_190"
""	"CDKN1C; LST1; FCGR3A; MS4A7; AIF1; CFD; PELATON; LYPD2; SERPINA1; COTL1; SAT1; FCER1G; PSAP; LYN; FTL; TCF7L2; CTSS; TNFRSF1B; SPI1; NFKBIZ; CSF1R; C1QA; PECAM1; LILRB2; PILRA; LRRC25; MAFB; S100A11; WARS1; TYROBP; MARCKS; C5AR1; POU2F2; HMOX1; FTH1; NEAT1; RHOC; FGL2; BCL2A1; BRI3; CEBPB; HCK; HES4; NAMPT; CD68; BID; RRAS; CST3; LYST; CSTB; SIGLEC10; IFI30; STXBP2; VASP; IFITM2; SLC7A7; S100A4; NPC2; CYBB; MBD2; LMO2; CLEC7A; VSIR; LILRA5; CFP; ATP2B1-AS1; TYMP; APOBEC3A; S100A6; ASAH1; PTPN6; TKT; LILRB1; LGALS3; CLEC12A; ANXA5; PYCARD; CPPED1; SLC2A6; ZFAND5; CTSL; DUSP6; FCN1; TMEM176B; FGR; NAAA; PRELID1; C19orf38; GPBAR1; KLF4; DUSP1; RNASET2; CKB; RGS19; ABI3; CASP1; G0S2; HLA-DPA1; ADGRE2; PLAUR"	"2021-02-15"	"Atlanta, Georgia, USA"	""	""	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF panel"	"CDKN1C; LST1; FCGR3A; MS4A7; AIF1; CFD; SMIM25; LYPD2; SERPINA1; COTL1; SAT1; FCER1G; PSAP; LYN; FTL; TCF7L2; CTSS; TNFRSF1B; SPI1; NFKBIZ; CSF1R; C1QA; PECAM1; LILRB2; PILRA; LRRC25; MAFB; S100A11; WARS; TYROBP; MARCKS; C5AR1; POU2F2; HMOX1; FTH1; NEAT1; RHOC; FGL2; BCL2A1; BRI3; CEBPB; HCK; HES4; NAMPT; CD68; BID; RRAS; CST3; LYST; CSTB; SIGLEC10; IFI30; STXBP2; VASP; IFITM2; SLC7A7; S100A4; NPC2; CYBB; MBD2; LMO2; CLEC7A; VSIR; LILRA5; CFP; ATP2B1-AS1; TYMP; APOBEC3A; S100A6; ASAH1; PTPN6; TKT; LILRB1; LGALS3; CLEC12A; ANXA5; PYCARD; CPPED1; SLC2A6; ZFAND5; CTSL; DUSP6; FCN1; TMEM176B; FGR; NAAA; PRELID1; C19orf38; GPBAR1; KLF4; DUSP1; RNASET2; CKB; RGS19; ABI3; CASP1; G0S2; HLA-DPA1; ADGRE2; PLAUR"	"N"	"gene expression"	"up"	"cluster 4 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"100"	"32788292_48_191"
""	"FCER1A; HLA-DRA; HLA-DQA1; HLA-DPB1; HLA-DPA1; HLA-DQB1; HLA-DRB1; HLA-DRB5; CLEC10A; CD74; CST3; CD1C; HLA-DMA; HLA-DQA2; CPVL; GPR183; LGALS2; HLA-DMB; ENHO; PHACTR1; LYZ; VIM; ANXA2; ALDH2; RGS1; CTSZ; JAML; IGSF6; GSTP1; S100A10; CAPG; CFP; CTSH; ID2; MS4A6A; CEBPD; BASP1; KLF4; LY86; LMNA; FCGRT; LGALS1; COTL1; C1orf162; AREG; SAMHD1; CCDC88A; MACROH2A1; AP1S2; GRN; SPI1; PAK1; IFI30; GADD45B; CIITA; ANXA1; NR4A2; IL13RA1; MNDA; CSTA; FOS; RNH1; PPA1; SLC25A5; FGL2; ANXA5; RNF130; CD33; CHMP1B; GDI2; IL1B; CSTB; CLEC4A; MAP3K8; NDRG2; IL18; CD1D; GAPDH; ID1; BHLHE40; EIF3L; TIPARP; LSP1; GSN; TMEM14C; SLC25A6; ACTG1; TYMP; CASP1; TUBA1A; GLIPR1; TAMALIN; SGK1; LGALS3; OGFRL1; PRCP; PGLS; RBPJ; PYCARD"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF panel"	"FCER1A; HLA-DRA; HLA-DQA1; HLA-DPB1; HLA-DPA1; HLA-DQB1; HLA-DRB1; HLA-DRB5; CLEC10A; CD74; CST3; CD1C; HLA-DMA; HLA-DQA2; CPVL; GPR183; LGALS2; HLA-DMB; ENHO; PHACTR1; LYZ; VIM; ANXA2; ALDH2; RGS1; CTSZ; JAML; IGSF6; GSTP1; S100A10; CAPG; CFP; CTSH; ID2; MS4A6A; CEBPD; BASP1; KLF4; LY86; LMNA; FCGRT; LGALS1; COTL1; C1orf162; AREG; SAMHD1; CCDC88A; H2AFY; AP1S2; GRN; SPI1; PAK1; IFI30; GADD45B; CIITA; ANXA1; NR4A2; IL13RA1; MNDA; CSTA; FOS; RNH1; PPA1; SLC25A5; FGL2; ANXA5; RNF130; CD33; CHMP1B; GDI2; IL1B; CSTB; CLEC4A; MAP3K8; NDRG2; IL18; CD1D; GAPDH; ID1; BHLHE40; EIF3L; TIPARP; LSP1; GSN; TMEM14C; SLC25A6; ACTG1; TYMP; CASP1; TUBA1A; GLIPR1; GRASP; SGK1; LGALS3; OGFRL1; PRCP; PGLS; RBPJ; PYCARD"	"N"	"gene expression"	"up"	"cluster 5 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"99"	"32788292_49_192"
""	"NRGN; PPBP; CAVIN2; PF4; H2AC6; TUBB1; GNG11; TSC22D1; RGS18; CLU; GP9; MYL9; ACRBP; CMTM5; MAP3K7CL; TREML1; PTCRA; TUBA4A; SPARC; TMEM40; RUFY1; LIMS1; C2orf88; RGS10; H3C10; NCOA4; PGRMC1; CD9; PRKAR2B; H2BC11; MMD; F13A1; MPP1; GRAP2; TPM4; ODC1; CTSA; BEX3; TLN1; VCL; FERMT3; CLDN5; TMEM140; KIF2A; CLEC1B; TAGLN2; TGFB1; NT5C3A; YWHAH; CALM3; OAZ1; OST4; TIMP1; RAB27B; CTTN; ESAM; PDLIM1; ITGA2B; MAX; NEXN; TPM1; RAP1B; CCL5; RAB32; GSTO1; ILK; PARVB; GPX4; PRDX6; SMIM5; IFI27; DAB2; SMOX; SNN; MYLK; MPIG6B; GMPR; RSU1; CDKN2D; SNCA; ENKUR; PTGS1; SNAP23; ACTN1; ITM2B; ARHGAP18; H3-3A; LAMTOR1; PKM; PDZK1IP1; TLK1; GAS2L1; SLC40A1; EIF2AK1; DAPP1; SH3BGRL3"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF panel"	"NRGN; PPBP; CAVIN2; PF4; HIST1H2AC; TUBB1; GNG11; TSC22D1; RGS18; CLU; GP9; MYL9; ACRBP; CMTM5; MAP3K7CL; TREML1; PTCRA; TUBA4A; SPARC; TMEM40; RUFY1; LIMS1; C2orf88; RGS10; HIST1H3H; NCOA4; PGRMC1; CD9; PRKAR2B; HIST1H2BJ; MMD; F13A1; MPP1; GRAP2; TPM4; ODC1; CTSA; BEX3; TLN1; VCL; FERMT3; CLDN5; TMEM140; KIF2A; CLEC1B; TAGLN2; TGFB1; NT5C3A; YWHAH; CALM3; OAZ1; OST4; TIMP1; RAB27B; CTTN; ESAM; PDLIM1; ITGA2B; MAX; NEXN; TPM1; RAP1B; CCL5; RAB32; GSTO1; ILK; PARVB; GPX4; PRDX6; SMIM5; IFI27; DAB2; SMOX; SNN; MYLK; MPIG6B; GMPR; RSU1; CDKN2D; SNCA; ENKUR; PTGS1; SNAP23; ACTN1; ITM2B; ARHGAP18; H3F3A; LAMTOR1; PKM; PDZK1IP1; TLK1; GAS2L1; SLC40A1; EIF2AK1; DAPP1; SH3BGRL3"	"N"	"gene expression"	"up"	"cluster 6 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"96"	"32788292_50_193"
""	"CD79A; MS4A1; IGHD; IGHM; CD79B; RALGPS2; BANK1; TCL1A; CD37; LINC00926; TNFRSF13C; CD74; VPREB3; HLA-DQA1; HLA-DQB1; HLA-DRB1; FCER2; MEF2C; HLA-DRA; CD22; AFF3; SWAP70; P2RX5; BLK; FCRL1; LTB; BIRC3; HVCN1; ADAM28; PLPP5; CD69; CXCR4; IL4R; HLA-DPB1; CD24; HLA-DMB; FCRLA; HLA-DMA; TSC22D3; ARHGAP24; CD40; STRBP; NIBAN3; IFT57; BCL11A; BTG1; PAX5; FCMR; HLA-DPA1; HLA-DOB; FAM30A; CD72; STX7; SNX2; TXNIP; SPIB; EZR; FCRL5; CYB561A3; FCRL2; ZCCHC7; FOXP1; CXXC5; ISG20; CD19; BCL7A; TMEM156; LINC02397; CD52; EAF2; GNG7; CDCA7L; TPD52; COBLL1; PPM1K; IRF8; CLEC2D; CAMK2D; PRDM2; NFKBID; IKZF3; REL; SEC62; NCF1; BLNK; SMIM14; LAPTM5; TCF4; QRSL1; SMAP2; ARID5B; BASP1; ADK; GAPT; GABPB1-AS1; CD83; JUND; KLF2; RHOB"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF panel"	"CD79A; MS4A1; IGHD; IGHM; CD79B; RALGPS2; BANK1; TCL1A; CD37; LINC00926; TNFRSF13C; CD74; VPREB3; HLA-DQA1; HLA-DQB1; HLA-DRB1; FCER2; MEF2C; HLA-DRA; CD22; AFF3; SWAP70; P2RX5; BLK; FCRL1; LTB; BIRC3; HVCN1; ADAM28; PLPP5; CD69; CXCR4; IL4R; HLA-DPB1; CD24; HLA-DMB; FCRLA; HLA-DMA; TSC22D3; ARHGAP24; CD40; STRBP; FAM129C; IFT57; BCL11A; BTG1; PAX5; FCMR; HLA-DPA1; HLA-DOB; FAM30A; CD72; STX7; SNX2; TXNIP; SPIB; EZR; FCRL5; CYB561A3; FCRL2; ZCCHC7; FOXP1; CXXC5; ISG20; CD19; BCL7A; TMEM156; LINC02397; CD52; EAF2; GNG7; CDCA7L; TPD52; COBLL1; PPM1K; IRF8; CLEC2D; CAMK2D; PRDM2; NFKBID; IKZF3; REL; SEC62; NCF1; BLNK; SMIM14; LAPTM5; TCF4; QRSL1; SMAP2; ARID5B; BASP1; ADK; GAPT; GABPB1-AS1; CD83; JUND; KLF2; RHOB"	"N"	"gene expression"	"up"	"cluster 7 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"99"	"32788292_51_194"
